,ID,나이,성별,유입경로,유입기기,회원구분,구매여부,주소(동/읍/면),AgeGroup
839,pkh8869,32,여자,이메일광고,PC,사업자,1,경상북도,30-35
840,pp160,30,남자,이메일광고,PC,전화주문 고객,1,강원도,30-35
841,pp161,28,남자,이메일광고,PC,전화주문 고객,1,경상북도,25-30
842,pp162,33,남자,이메일광고,PC,전화주문 고객,1,전라남도,30-35
843,tapsuup,45,남자,SNS광고,모바일,사업자,1,서울특별시,45-50
844,yyy1428,47,남자,SNS광고,모바일,일반,1,충청북도,45-50
845,27880841@n,48,남자,블로그광고,PC,일반,1,경기도,45-50
846,46089170@n,44,남자,SNS광고,모바일,일반,1,경상남도,40-45
847,50241792@n,40,남자,인터넷기사광고,PC,일반,1,경기도,40-45
848,92255506@n,48,남자,블로그광고,PC,일반,1,강원도,45-50
849,duddnsp123,42,남자,잡지광고,모바일,사업자,1,인천광역시,40-45
850,ekekadk,45,남자,블로그광고,PC,사업자,1,인천광역시,45-50
851,pp163,27,남자,이메일광고,PC,전화주문 고객,1,충청남도,25-30
852,pp164,33,남자,이메일광고,PC,전화주문 고객,1,전라남도,30-35
853,pp165,32,남자,이메일광고,PC,전화주문 고객,1,경기도,30-35
854,pp166,27,남자,이메일광고,PC,전화주문 고객,1,전라남도,25-30
855,pp167,24,남자,이메일광고,PC,전화주문 고객,1,강원도,20-25
856,pp168,29,남자,이메일광고,PC,전화주문 고객,1,경기도,25-30
857,rak1582,30,남자,이메일광고,PC,사업자,1,경상북도,30-35
858,47595983@n,47,남자,SNS광고,모바일,일반,1,세종특별자치시,45-50
859,66020074@n,47,남자,SNS광고,모바일,일반,1,충청북도,45-50
860,75243761@n,49,남자,블로그광고,모바일,일반,1,경상북도,45-50
861,dudgus1203,51,남자,잡지광고,PC,사업자,1,인천광역시,50-55
862,gpmanager,41,남자,기타,PC,사업자,1,대전광역시,40-45
863,jsk2750,47,남자,잡지광고,모바일,일반,1,충청남도,45-50
864,nakim1218,38,남자,기타,PC,사업자,1,서울특별시,35-40
865,pp169,32,남자,이메일광고,PC,전화주문 고객,1,전라남도,30-35
866,pp170,36,남자,이메일광고,PC,전화주문 고객,1,부산광역시,35-40
867,pp171,46,남자,블로그광고,PC,전화주문 고객,1,충청남도,45-50
868,pp172,42,남자,블로그광고,PC,전화주문 고객,1,충청남도,40-45
869,pp173,34,남자,이메일광고,PC,전화주문 고객,1,충청남도,30-35
870,4968632@n,48,남자,블로그광고,모바일,일반,1,광주광역시,45-50
871,757461477@k,47,남자,SNS광고,모바일,일반,1,대구광역시,45-50
872,cshcsa,42,남자,기타,모바일,사업자,1,경기도,40-45
873,hjkwon26,48,남자,블로그광고,PC,일반,1,인천광역시,45-50
874,impactho,48,남자,블로그광고,PC,일반,1,강원도,45-50
875,leemansome,72,여자,잡지광고,PC,사업자,1,부산광역시,70-75
876,pibagagy,35,여자,잡지광고,모바일,사업자,1,부산광역시,35-40
877,pno0037,45,남자,기타,PC,사업자,1,강원도,45-50
878,pp174,46,남자,기타,PC,전화주문 고객,1,부산광역시,45-50
879,pp175,29,남자,기타,PC,전화주문 고객,1,대전광역시,25-30
880,pp176,41,남자,기타,PC,전화주문 고객,1,부산광역시,40-45
881,pp177,28,남자,이메일광고,PC,전화주문 고객,1,경기도,25-30
882,pp178,40,남자,인터넷기사광고,PC,전화주문 고객,1,제주특별자치도,40-45
883,pp179,31,남자,이메일광고,PC,전화주문 고객,1,경기도,30-35
884,pp180,24,남자,이메일광고,PC,전화주문 고객,1,충청북도,20-25
885,sd3633,46,남자,기타,PC,사업자,1,서울특별시,45-50
886,tnwls6532,41,남자,지인추천,PC,사업자,1,강원도,40-45
887,lnh3881,40,여자,SNS광고,모바일,일반,1,경기도,40-45
888,pp181,45,남자,블로그광고,PC,전화주문 고객,1,전라북도,45-50
889,pp182,32,남자,이메일광고,PC,전화주문 고객,1,경상남도,30-35
890,pp183,50,남자,블로그광고,PC,전화주문 고객,1,전라북도,50-55
891,umminji,40,남자,SNS광고,모바일,사업자,1,인천광역시,40-45
892,107780155@n,47,남자,SNS광고,모바일,일반,1,경기도,45-50
893,23255580@n,47,남자,SNS광고,모바일,일반,1,충청남도,45-50
894,758664939@k,47,남자,SNS광고,모바일,일반,1,서울특별시,45-50
895,guapolee,46,남자,SNS광고,모바일,일반,1,전라북도,45-50
896,kara3508,40,여자,지인추천,모바일,일반,1,대구광역시,40-45
897,fbrkgml98,47,남자,SNS광고,모바일,일반,1,부산광역시,45-50
898,looneytones,43,남자,지인추천,모바일,사업자,1,대구광역시,40-45
899,telhom2395,55,남자,블로그광고,PC,사업자,1,경기도,55-60
900,wldus0513,29,여자,잡지광고,PC,사업자,1,제주특별자치도,25-30
901,16398578@n,47,남자,SNS광고,모바일,일반,1,서울특별시,45-50
902,18773814@n,47,남자,블로그광고,PC,일반,1,서울특별시,45-50
903,iremain,45,남자,SNS광고,모바일,사업자,1,강원도,45-50
904,kanghoexr,55,남자,지인추천,모바일,사업자,1,부산광역시,55-60
905,mutelmutel,55,여자,블로그광고,모바일,사업자,1,충청북도,55-60
906,pp184,32,남자,이메일광고,PC,전화주문 고객,1,서울특별시,30-35
907,pp185,32,남자,이메일광고,PC,전화주문 고객,1,울산광역시,30-35
908,pp186,29,남자,이메일광고,PC,전화주문 고객,1,부산광역시,25-30
909,sh090319,40,남자,인터넷검색,모바일,일반,1,광주광역시,40-45
910,sujung0401,47,남자,SNS광고,모바일,일반,1,경기도,45-50
911,42110592@n,40,여자,SNS광고,모바일,일반,1,부산광역시,40-45
912,64475066@n,48,남자,블로그광고,모바일,일반,1,인천광역시,45-50
913,68196941@n,47,남자,블로그광고,PC,일반,1,대구광역시,45-50
914,as12,25,여자,잡지광고,PC,사업자,1,부산광역시,25-30
915,dydwh80,41,남자,인터넷기사광고,PC,일반,1,서울특별시,40-45
916,hantolry,46,남자,블로그광고,PC,일반,1,서울특별시,45-50
917,pp187,32,남자,잡지광고,PC,전화주문 고객,1,경상남도,30-35
918,pp188,40,남자,인터넷기사광고,PC,전화주문 고객,1,경기도,40-45
919,pp189,32,남자,이메일광고,PC,전화주문 고객,1,전라북도,30-35
920,pp190,32,남자,기타,PC,전화주문 고객,1,부산광역시,30-35
921,pp191,40,남자,인터넷기사광고,PC,전화주문 고객,1,강원도,40-45
922,pp192,32,남자,이메일광고,PC,전화주문 고객,1,서울특별시,30-35
923,yyj82,44,남자,SNS광고,모바일,사업자,1,인천광역시,40-45
924,20708286@n,47,남자,SNS광고,모바일,일반,1,부산광역시,45-50
925,24328443@n,48,남자,블로그광고,PC,일반,1,충청북도,45-50
926,760746334@k,47,남자,SNS광고,모바일,일반,1,충청남도,45-50
927,87401086@n,49,여자,블로그광고,모바일,일반,1,부산광역시,45-50
928,cozy0812,32,여자,이메일광고,PC,사업자,1,부산광역시,30-35
929,csy2011,69,남자,신문광고,PC,사업자,1,서울특별시,65-70
930,hoer301,47,남자,블로그광고,PC,일반,1,강원도,45-50
931,hyunjung741208,48,남자,블로그광고,모바일,일반,1,광주광역시,45-50
932,pp193,27,남자,이메일광고,PC,전화주문 고객,1,강원도,25-30
933,pp194,53,남자,블로그광고,PC,전화주문 고객,1,경기도,50-55
934,pp195,40,남자,인터넷기사광고,PC,전화주문 고객,1,경상남도,40-45
935,pp196,36,남자,이메일광고,PC,전화주문 고객,1,경상북도,35-40
936,pp197,39,남자,인터넷기사광고,PC,전화주문 고객,1,경상북도,35-40
937,pp198,31,남자,이메일광고,PC,전화주문 고객,1,경기도,30-35
938,pp199,33,남자,이메일광고,PC,전화주문 고객,1,경기도,30-35
939,pp200,43,남자,블로그광고,PC,전화주문 고객,1,경기도,40-45
940,qkakdh,48,남자,기타,PC,일반,1,경기도,45-50
941,sbm0111,47,남자,기타,PC,사업자,1,경상북도,45-50
942,761422337@k,40,남자,SNS광고,모바일,일반,1,경기도,40-45
943,cple0107,40,여자,인터넷기사광고,PC,사업자,1,서울특별시,40-45
944,dmsdud6015,43,남자,블로그광고,PC,사업자,1,대구광역시,40-45
945,don300,27,여자,이메일광고,PC,사업자,1,서울특별시,25-30
946,end44,24,남자,이메일광고,PC,사업자,1,울산광역시,20-25
947,jisik3686,45,남자,SNS광고,모바일,사업자,1,전라북도,45-50
948,pp201,40,남자,인터넷기사광고,PC,전화주문 고객,1,서울특별시,40-45
949,pp202,38,남자,신문광고,PC,전화주문 고객,1,부산광역시,35-40
950,pp203,26,남자,기타,PC,전화주문 고객,1,서울특별시,25-30
951,pp204,29,남자,기타,PC,전화주문 고객,1,경상남도,25-30
952,pp205,31,남자,기타,PC,전화주문 고객,1,충청남도,30-35
953,pp206,46,남자,블로그광고,PC,전화주문 고객,1,경상북도,45-50
954,pp207,32,남자,이메일광고,PC,전화주문 고객,1,부산광역시,30-35
955,pp208,29,남자,이메일광고,PC,전화주문 고객,1,경기도,25-30
956,pp209,63,남자,기타,PC,전화주문 고객,1,전라남도,60-65
957,preetykimbob,45,남자,기타,PC,사업자,1,인천광역시,45-50
958,smile23i,48,남자,블로그광고,PC,사업자,1,경상남도,45-50
959,umulzib,43,남자,기타,PC,일반,1,부산광역시,40-45
960,116175245@n,48,남자,블로그광고,PC,일반,1,충청남도,45-50
961,19118163@n,37,남자,SNS광고,모바일,일반,1,대구광역시,35-40
962,45720366@n,44,남자,블로그광고,PC,일반,1,경기도,40-45
963,80804544@n,47,남자,SNS광고,모바일,일반,1,서울특별시,45-50
964,ks0625,29,남자,카카오톡광고,모바일,사업자,1,충청북도,25-30
965,pp210,26,남자,이메일광고,PC,전화주문 고객,1,부산광역시,25-30
966,pp211,37,남자,신문광고,PC,전화주문 고객,1,부산광역시,35-40
967,chu6212,48,남자,잡지광고,모바일,일반,1,경상남도,45-50
968,dlqudwo1004,50,남자,블로그광고,PC,사업자,1,광주광역시,50-55
969,amen0803,47,남자,SNS광고,모바일,일반,1,경기도,45-50
970,hee710921,45,남자,블로그광고,PC,사업자,1,인천광역시,45-50
971,jinneyo,45,여자,블로그광고,PC,사업자,1,충청북도,45-50
972,pp212,45,남자,블로그광고,PC,전화주문 고객,1,광주광역시,45-50
973,pp213,25,남자,이메일광고,PC,전화주문 고객,1,경상북도,25-30
974,pp222,32,남자,이메일광고,PC,전화주문 고객,1,부산광역시,30-35
975,pp223,32,남자,이메일광고,PC,전화주문 고객,1,전라남도,30-35
976,pp224,29,남자,이메일광고,PC,전화주문 고객,1,경기도,25-30
977,pp225,32,남자,이메일광고,PC,전화주문 고객,1,서울특별시,30-35
978,wonhee0102,47,남자,지인추천,모바일,일반,1,경기도,45-50
979,pp214,40,남자,인터넷기사광고,PC,전화주문 고객,1,경상남도,40-45
980,pp215,31,남자,이메일광고,PC,전화주문 고객,1,충청남도,30-35
981,83467816@n,47,남자,블로그광고,PC,일반,1,인천광역시,45-50
982,didgh5112,48,남자,블로그광고,PC,사업자,1,경상남도,45-50
983,dyddkstk,48,남자,블로그광고,모바일,일반,1,경상북도,45-50
984,minerva1969,43,남자,블로그광고,PC,사업자,1,경기도,40-45
985,pp216,31,남자,이메일광고,PC,전화주문 고객,1,경기도,30-35
986,pp217,29,남자,이메일광고,PC,전화주문 고객,1,부산광역시,25-30
987,pp218,31,남자,이메일광고,PC,전화주문 고객,1,전라북도,30-35
988,pp226,36,남자,이메일광고,PC,전화주문 고객,1,충청남도,35-40
989,stgm06,48,남자,블로그광고,PC,일반,1,경기도,45-50
990,53862103@n,47,남자,SNS광고,모바일,일반,1,대구광역시,45-50
991,765112821@k,50,남자,블로그광고,PC,일반,1,경기도,50-55
992,bomfood9292,43,남자,블로그광고,PC,사업자,1,인천광역시,40-45
993,ce980326,46,남자,블로그광고,PC,사업자,1,대전광역시,45-50
994,jiwoo97,48,남자,기타,PC,사업자,1,서울특별시,45-50
995,lhsbruce,39,여자,잡지광고,PC,사업자,1,대전광역시,35-40
996,nesgogo,47,남자,기타,PC,일반,1,대전광역시,45-50
997,pp228,33,남자,이메일광고,PC,전화주문 고객,1,경기도,30-35
998,pp229,40,남자,인터넷기사광고,PC,전화주문 고객,1,강원도,40-45
999,sonicey,48,남자,블로그광고,PC,사업자,1,경기도,45-50
1000,15890626@n,47,남자,SNS광고,모바일,일반,1,경기도,45-50
1001,34501268@n,47,남자,블로그광고,PC,일반,1,울산광역시,45-50
1002,765653520@k,48,남자,블로그광고,PC,일반,1,세종특별자치시,45-50
1003,765800687@k,48,남자,블로그광고,PC,일반,1,서울특별시,45-50
1004,induk,46,남자,블로그광고,PC,일반,1,경상남도,45-50
1005,luna2hj,47,남자,SNS광고,모바일,일반,1,전라남도,45-50
1006,pp220,40,남자,인터넷기사광고,PC,전화주문 고객,1,경상남도,40-45
1007,pp221,29,남자,이메일광고,PC,전화주문 고객,1,부산광역시,25-30
1008,pp230,30,남자,이메일광고,PC,전화주문 고객,1,경상남도,30-35
1009,whitemodel,30,남자,카카오톡광고,모바일,사업자,1,서울특별시,30-35
1010,49263438@n,48,남자,블로그광고,PC,일반,1,서울특별시,45-50
1011,jsk27500,44,남자,잡지광고,모바일,사업자,1,충청남도,40-45
1012,94966898@n,48,남자,블로그광고,모바일,일반,1,인천광역시,45-50
1013,figgy88,38,남자,SNS광고,모바일,사업자,1,서울특별시,35-40
1014,julymint,44,남자,블로그광고,PC,사업자,1,전라북도,40-45
1015,kmd1146,40,남자,잡지광고,모바일,사업자,1,경기도,40-45
1016,nah159,45,남자,기타,모바일,사업자,1,경상남도,45-50
1017,pp231,37,남자,신문광고,PC,전화주문 고객,1,경상북도,35-40
1018,pp232,33,남자,이메일광고,PC,전화주문 고객,1,부산광역시,30-35
1019,pp25,32,남자,이메일광고,PC,전화주문 고객,1,충청북도,30-35
1020,109319048@n,36,남자,이메일광고,PC,일반,1,경상남도,35-40
1021,150329090@n,47,남자,블로그광고,PC,일반,1,경기도,45-50
1022,95477295@n,47,남자,SNS광고,모바일,일반,1,부산광역시,45-50
1023,peh119,49,남자,잡지광고,모바일,사업자,1,강원도,45-50
1024,ski7346,48,남자,블로그광고,모바일,일반,1,경기도,45-50
1025,youme48,49,남자,블로그광고,PC,사업자,1,울산광역시,45-50
1026,132351155@n,30,남자,카카오톡광고,모바일,일반,1,경상북도,30-35
1027,768507035@k,45,남자,SNS광고,모바일,일반,1,인천광역시,45-50
1028,86166543@n,47,남자,블로그광고,PC,일반,1,경기도,45-50
1029,helloxg,52,남자,잡지광고,모바일,사업자,1,부산광역시,50-55
1030,lovezzim,41,남자,인터넷기사광고,PC,사업자,1,서울특별시,40-45
1031,pp233,33,남자,이메일광고,PC,전화주문 고객,1,울산광역시,30-35
1032,pp234,61,남자,인터넷기사광고,PC,전화주문 고객,1,전라북도,60-65
1033,pp235,31,남자,이메일광고,PC,전화주문 고객,1,서울특별시,30-35
1034,sh13,45,남자,블로그광고,PC,사업자,1,경기도,45-50
1035,withkjr,41,남자,인터넷기사광고,PC,사업자,1,경기도,40-45
1036,43056905@n,48,남자,블로그광고,모바일,일반,1,전라남도,45-50
1037,iridescent,45,남자,잡지광고,PC,사업자,1,서울특별시,45-50
1038,jany3011,47,남자,SNS광고,모바일,일반,1,서울특별시,45-50
1039,pp236,30,남자,이메일광고,PC,전화주문 고객,1,전라북도,30-35
1040,pp237,40,남자,인터넷기사광고,PC,전화주문 고객,1,경상남도,40-45
1041,pp238,40,남자,인터넷기사광고,PC,전화주문 고객,1,인천광역시,40-45
1042,pp239,74,남자,잡지광고,PC,전화주문 고객,1,경상북도,70-75
1043,pp240,43,남자,블로그광고,PC,전화주문 고객,1,충청남도,40-45
1044,pp241,27,남자,이메일광고,PC,전화주문 고객,1,경상남도,25-30
1045,pp242,26,남자,잡지광고,PC,전화주문 고객,1,경기도,25-30
1046,pp244,21,남자,이메일광고,PC,전화주문 고객,1,경상북도,20-25
1047,top9997,58,남자,인터넷기사광고,PC,일반,1,경기도,55-60
1048,28356238@n,48,남자,블로그광고,PC,일반,1,경상남도,45-50
1049,6103087@n,48,남자,블로그광고,PC,일반,1,대전광역시,45-50
1050,770091528@k,47,남자,SNS광고,모바일,일반,1,충청남도,45-50
1051,jaed72,47,남자,잡지광고,모바일,사업자,1,경기도,45-50
1052,linko0115,44,남자,잡지광고,PC,사업자,1,광주광역시,40-45
1053,pp245,41,남자,인터넷기사광고,PC,전화주문 고객,1,경기도,40-45
1054,pp246,32,남자,이메일광고,PC,전화주문 고객,1,경상남도,30-35
1055,rngksl12,71,남자,신문광고,PC,사업자,1,충청북도,70-75
1056,naraim,48,남자,블로그광고,PC,일반,1,서울특별시,45-50
1057,zlbearlz,48,남자,블로그광고,모바일,일반,1,인천광역시,45-50
1058,17884468@n,47,남자,블로그광고,PC,일반,1,충청남도,45-50
1059,maem21,48,남자,기타,모바일,일반,1,경기도,45-50
1060,pmn3937,44,남자,SNS광고,모바일,사업자,1,대구광역시,40-45
1061,13180696@n,53,남자,블로그광고,PC,일반,1,강원도,50-55
1062,4003105@n,50,남자,블로그광고,PC,일반,1,경기도,50-55
1063,5458003@n,47,남자,블로그광고,PC,일반,1,충청북도,45-50
1064,93174633@n,43,남자,SNS광고,모바일,일반,1,광주광역시,40-45
1065,jmjj990312,42,남자,블로그광고,PC,사업자,1,경기도,40-45
1066,land201,45,남자,블로그광고,PC,사업자,1,대구광역시,45-50
1067,pp247,28,남자,이메일광고,PC,전화주문 고객,1,경상남도,25-30
1068,pp248,31,남자,이메일광고,PC,전화주문 고객,1,강원도,30-35
1069,pp249,32,남자,이메일광고,PC,전화주문 고객,1,제주특별자치도,30-35
1070,pp250,27,남자,이메일광고,PC,전화주문 고객,1,부산광역시,25-30
1071,sossos67,48,남자,블로그광고,모바일,일반,1,경상남도,45-50
1072,tjsghk4337,39,남자,SNS광고,모바일,일반,1,강원도,35-40
1073,yujinback,89,남자,신문광고,PC,일반,1,서울특별시,85-90
1074,29496718@n,48,남자,블로그광고,PC,일반,1,경기도,45-50
1075,55608848@n,48,남자,블로그광고,PC,일반,1,경기도,45-50
1076,773599503@k,47,남자,SNS광고,모바일,일반,1,광주광역시,45-50
1077,baikhw93,48,남자,블로그광고,모바일,일반,1,제주특별자치도,45-50
1078,doctorlee,60,남자,인터넷기사광고,PC,사업자,1,경상남도,60-65
1079,joho0207,45,남자,블로그광고,PC,사업자,1,전라남도,45-50
1080,killer0344,45,남자,잡지광고,모바일,사업자,1,인천광역시,45-50
1081,pp251,32,남자,이메일광고,PC,전화주문 고객,1,경상북도,30-35
1082,40041510@n,44,남자,SNS광고,모바일,일반,1,경기도,40-45
1083,44092007@n,47,남자,블로그광고,PC,일반,1,서울특별시,45-50
1084,52125248@n,48,남자,블로그광고,모바일,일반,1,전라남도,45-50
1085,96846349@n,48,남자,블로그광고,모바일,일반,1,대전광역시,45-50
1086,pmj4512,28,남자,카카오톡광고,모바일,사업자,1,부산광역시,25-30
1087,pp253,32,남자,이메일광고,PC,전화주문 고객,1,충청북도,30-35
1088,pp257,40,여자,인터넷기사광고,PC,전화주문 고객,1,서울특별시,40-45
1089,qkr5624,44,남자,SNS광고,모바일,사업자,1,서울특별시,40-45
1090,130865688@n,46,남자,SNS광고,모바일,일반,1,서울특별시,45-50
1091,22054220@n,48,남자,블로그광고,모바일,일반,1,경상남도,45-50
1092,64788729@n,25,남자,이메일광고,PC,일반,1,대구광역시,25-30
1093,cucumber78,45,남자,기타,모바일,사업자,1,대구광역시,45-50
1094,dhrghk3930,42,남자,잡지광고,모바일,사업자,1,전라북도,40-45
1095,donkorea,47,남자,잡지광고,모바일,일반,1,서울특별시,45-50
1096,kkk4001,47,남자,잡지광고,모바일,일반,1,충청북도,45-50
1097,kon9r2,45,남자,잡지광고,모바일,사업자,1,경기도,45-50
1098,mjj999,52,여자,잡지광고,PC,사업자,1,경기도,50-55
1099,naoongi,52,여자,잡지광고,PC,사업자,1,서울특별시,50-55
1100,party0030,40,여자,잡지광고,모바일,사업자,1,대구광역시,40-45
1101,pkl3281,21,여자,잡지광고,모바일,사업자,1,대구광역시,20-25
1102,pp254,40,남자,인터넷기사광고,PC,전화주문 고객,1,충청북도,40-45
1103,pp255,29,남자,이메일광고,PC,전화주문 고객,1,경상북도,25-30
1104,pp258,33,남자,이메일광고,PC,전화주문 고객,1,서울특별시,30-35
1105,pp259,29,남자,이메일광고,PC,전화주문 고객,1,충청북도,25-30
1106,pp260,30,남자,이메일광고,PC,전화주문 고객,1,부산광역시,30-35
1107,pp261,32,남자,이메일광고,PC,전화주문 고객,1,충청북도,30-35
1108,pp262,47,남자,블로그광고,PC,전화주문 고객,1,대전광역시,45-50
1109,pp263,33,남자,이메일광고,PC,전화주문 고객,1,대전광역시,30-35
1110,pp265,33,남자,이메일광고,PC,전화주문 고객,1,강원도,30-35
1111,pp267,32,남자,이메일광고,PC,전화주문 고객,1,경상남도,30-35
1112,pp268,21,남자,이메일광고,PC,전화주문 고객,1,대구광역시,20-25
1113,pp269,21,남자,이메일광고,PC,전화주문 고객,1,경상북도,20-25
1114,sh017411,42,남자,블로그광고,PC,사업자,1,대전광역시,40-45
1115,thal1011,46,남자,잡지광고,모바일,사업자,1,충청남도,45-50
1116,tjfql7,29,여자,잡지광고,PC,사업자,1,울산광역시,25-30
1117,16103428@n,40,남자,인터넷기사광고,PC,일반,1,부산광역시,40-45
1118,asus0007,47,남자,SNS광고,모바일,일반,1,대전광역시,45-50
1119,etalcjb,40,여자,SNS광고,모바일,사업자,1,울산광역시,40-45
1120,gibson100,40,여자,잡지광고,PC,일반,1,인천광역시,40-45
1121,hanywony04,49,남자,블로그광고,모바일,일반,1,경기도,45-50
1122,js1spoon,45,남자,잡지광고,모바일,사업자,1,경상남도,45-50
1123,pey5114,45,남자,잡지광고,PC,사업자,1,충청남도,45-50
1124,sc0615,45,남자,잡지광고,모바일,사업자,1,대전광역시,45-50
1125,son5861,66,남자,인터넷기사광고,모바일,사업자,1,경상남도,65-70
1126,sparkskw,50,남자,블로그광고,모바일,사업자,1,대전광역시,50-55
1127,swlee6979,40,남자,잡지광고,모바일,일반,1,대전광역시,40-45
1128,agz0257,40,여자,SNS광고,모바일,사업자,1,경기도,40-45
1129,bamnamugol,44,남자,블로그광고,PC,사업자,1,경기도,40-45
1130,miok834,47,남자,SNS광고,모바일,일반,1,경상북도,45-50
1131,11185770@n,47,남자,블로그광고,PC,일반,1,강원도,45-50
1132,251423325601003@f,40,남자,SNS광고,모바일,일반,1,경기도,40-45
1133,32442284@n,47,남자,블로그광고,PC,일반,1,서울특별시,45-50
1134,55393051@n,48,남자,블로그광고,PC,일반,1,서울특별시,45-50
1135,60379776@n,47,남자,블로그광고,PC,일반,1,부산광역시,45-50
1136,8238362@n,48,남자,블로그광고,PC,일반,1,서울특별시,45-50
1137,az0518,44,남자,잡지광고,모바일,사업자,1,경기도,40-45
1138,bibiu0501,48,남자,블로그광고,모바일,일반,1,경상남도,45-50
1139,bobe1027,42,남자,블로그광고,PC,사업자,1,경상남도,40-45
1140,cto9818,30,남자,잡지광고,모바일,사업자,1,전라남도,30-35
1141,freewilly0,48,남자,블로그광고,모바일,일반,1,부산광역시,45-50
1142,gmlyjs,45,남자,잡지광고,모바일,사업자,1,전라남도,45-50
1143,hirpdud76,41,남자,기타,PC,사업자,1,부산광역시,40-45
1144,jhk4576,37,남자,잡지광고,PC,사업자,1,인천광역시,35-40
1145,jodoc1,41,남자,잡지광고,모바일,사업자,1,경상북도,40-45
1146,kaka172,44,남자,잡지광고,모바일,사업자,1,경상북도,40-45
1147,likelike,39,남자,잡지광고,PC,사업자,1,대전광역시,35-40
1148,minrak,44,남자,기타,PC,사업자,1,경기도,40-45
1149,pp256,36,남자,이메일광고,PC,전화주문 고객,1,광주광역시,35-40
1150,pp272,36,남자,이메일광고,PC,전화주문 고객,1,경기도,35-40
1151,pp273,29,남자,이메일광고,PC,전화주문 고객,1,경기도,25-30
1152,pp274,27,남자,이메일광고,PC,전화주문 고객,1,경상남도,25-30
1153,pp276,37,남자,신문광고,PC,전화주문 고객,1,강원도,35-40
1154,pp277,32,남자,이메일광고,PC,전화주문 고객,1,경상남도,30-35
1155,pp278,23,남자,이메일광고,PC,전화주문 고객,1,경상남도,20-25
1156,pp279,25,남자,이메일광고,PC,전화주문 고객,1,강원도,25-30
1157,pp280,34,남자,이메일광고,PC,전화주문 고객,1,경상남도,30-35
1158,pp281,34,남자,이메일광고,PC,전화주문 고객,1,충청남도,30-35
1159,pp282,33,남자,잡지광고,PC,전화주문 고객,1,충청북도,30-35
1160,pp283,33,남자,잡지광고,PC,전화주문 고객,1,부산광역시,30-35
1161,pp284,37,남자,신문광고,PC,전화주문 고객,1,충청남도,35-40
1162,pp285,34,남자,이메일광고,PC,전화주문 고객,1,인천광역시,30-35
1163,pp286,34,남자,잡지광고,PC,전화주문 고객,1,제주특별자치도,30-35
1164,pp287,29,남자,잡지광고,PC,전화주문 고객,1,경기도,25-30
1165,pp288,33,남자,잡지광고,PC,전화주문 고객,1,강원도,30-35
1166,pp289,40,남자,인터넷기사광고,PC,전화주문 고객,1,경상남도,40-45
1167,pp290,54,남자,잡지광고,PC,전화주문 고객,1,서울특별시,50-55
1168,sjfmf8989,42,남자,잡지광고,PC,사업자,1,충청남도,40-45
1169,tom4408,40,남자,SNS광고,모바일,사업자,1,전라남도,40-45
1170,ye0243,30,남자,기타,PC,사업자,1,충청북도,30-35
1171,132532451@n,48,남자,블로그광고,PC,일반,1,전라남도,45-50
1172,36688399@n,47,남자,SNS광고,모바일,일반,1,경기도,45-50
1173,a10134,48,남자,블로그광고,PC,일반,1,전라북도,45-50
1174,byuri2002,45,남자,블로그광고,PC,사업자,1,인천광역시,45-50
1175,cmk2828,47,남자,SNS광고,모바일,일반,1,경상북도,45-50
1176,cofls0522,32,여자,지인추천,PC,일반,1,대전광역시,30-35
1177,gksrnrgus25,46,남자,잡지광고,PC,사업자,1,경기도,45-50
1178,godman7777,47,남자,잡지광고,모바일,사업자,1,대구광역시,45-50
1179,goofy905,47,남자,지인추천,모바일,일반,1,경상북도,45-50
1180,inshoobi,40,여자,인터넷기사광고,PC,사업자,1,울산광역시,40-45
1181,jiny5313,48,남자,잡지광고,모바일,일반,1,경상북도,45-50
1182,juni80,35,남자,이메일광고,PC,일반,1,경상남도,35-40
1183,kaw0692,42,남자,기타,PC,사업자,1,경상북도,40-45
1184,kim914ks,40,남자,기타,모바일,사업자,1,경상북도,40-45
1185,limta90,45,남자,블로그광고,PC,일반,1,경상남도,45-50
1186,pp291,31,남자,이메일광고,PC,전화주문 고객,1,울산광역시,30-35
1187,pp292,32,남자,이메일광고,PC,전화주문 고객,1,충청남도,30-35
1188,pp293,32,남자,이메일광고,PC,전화주문 고객,1,강원도,30-35
1189,pp294,33,남자,이메일광고,PC,전화주문 고객,1,서울특별시,30-35
1190,pp295,33,남자,이메일광고,PC,전화주문 고객,1,전라남도,30-35
1191,pp296,29,남자,이메일광고,PC,전화주문 고객,1,전라남도,25-30
1192,pp297,32,남자,이메일광고,PC,전화주문 고객,1,경기도,30-35
1193,pp298,22,남자,이메일광고,PC,전화주문 고객,1,충청남도,20-25
1194,pp299,32,남자,이메일광고,PC,전화주문 고객,1,경상북도,30-35
1195,pp300,40,남자,인터넷기사광고,PC,전화주문 고객,1,강원도,40-45
1196,pp301,32,남자,이메일광고,PC,전화주문 고객,1,경기도,30-35
1197,pp302,33,남자,이메일광고,PC,전화주문 고객,1,경기도,30-35
1198,pp303,36,남자,이메일광고,PC,전화주문 고객,1,경기도,35-40
1199,psy9195,43,남자,잡지광고,모바일,사업자,1,경기도,40-45
1200,sun8716,28,여자,잡지광고,모바일,사업자,1,서울특별시,25-30
1201,umma28,56,남자,잡지광고,PC,사업자,1,강원도,55-60
1202,127687613@n,48,남자,블로그광고,모바일,일반,1,인천광역시,45-50
